# WASA-at-COSY CD Field Map
#
# transcription from WMC cd_field_rect.dat
#
# 090205 CFR
#
#
#  R(cm)          Z(cm)           Fr(kGs)        Fz(kGs)
7.50E+001       5.00E+000       2.47E-002       -3.57E+000
8.00E+001       5.00E+000       -6.77E-004      -1.03E-003
8.50E+001       5.00E+000       -6.51E-004      -7.07E-004
9.00E+001       5.00E+000       -6.23E-004      -4.12E-004
9.50E+001       5.00E+000       -6.03E-004      -1.58E-004
                        
0.00E+000       1.00E+001       0.00E+000       1.22E+001
5.00E+000       1.00E+001       5.41E-001       1.24E+001
1.00E+001       1.00E+001       9.43E-001       1.29E+001
1.50E+001       1.00E+001       1.20E+000       1.33E+001
2.00E+001       1.00E+001       1.48E+000       1.50E+001
2.50E+001       1.00E+001       1.48E+000       9.28E+000
3.00E+001       1.00E+001       1.45E+000       -4.69E+000
3.50E+001       1.00E+001       1.33E+000       -2.39E+000
4.00E+001       1.00E+001       1.09E+000       -1.47E+000
4.50E+001       1.00E+001       8.28E-001       -9.36E-001
5.00E+001       1.00E+001       6.22E-001       -5.87E-001
5.50E+001       1.00E+001       4.76E-001       -3.43E-001
6.00E+001       1.00E+001       4.05E-001       -2.12E-001
